Genres,GenreCount,TrackCount
"italian hip hop, italian indie pop, italian pop, trap italiana",1,58
"italian hip hop, italian underground hip hop",1,58
singer-songwriter pop,1,57
melodic rap,1,57
"rap dominicano, reggaeton, trap latino, urbano latino",1,57
"canadian hip hop, canadian trap, melodic rap, rap, trap",1,57
"arrocha, forro, sertanejo, sertanejo universitario",1,57
"c-pop, cantopop",1,57
"italian adult pop, italian hip hop, italian pop",1,57
hypertechno,1,56
"french hip hop, pop urbaine, r&b francais, rap algerien",1,56
"banda, baroque, british, british composer, classical, composer, corrido, corridos belicos, corridos tumbados, english, musica mexicana, opera, production music, sad sierreno, sierreno, uk",1,56
alternative r&b,1,56
"latin, latin urban, reggaeton",1,56
"trap chileno, urbano chileno",1,56
vallenato,1,56
"hip hop, trap",1,56
"bulgarian hip hop, bulgarian pop, bulgarian trap",1,56
"special purpose artist, fixme, bogus artist, meta artist, non-music, nature, bogus, nature sounds, sound ideas 6000 aviation 2, mergeme, needs merging into [no artist], do not merge, needs merging, why has this not been merged yet, cadbury sisters, merge into [no artist], special purpose",1,56
finnish dance pop,1,56
"reggaeton, trap latino, latin, urbano latino",1,56
corrido,1,55
"alternative hip hop, boom bap, conscious hip hop, experimental hip hop, funk, gangsta rap, hardcore hip hop, hip hop, jazz rap, neo soul, political hip hop, pop, pop rap, r&b, rap, relic inn, trap, west coast hip hop",1,55
bedroom pop,1,55
"latin pop, puerto rican pop",1,55
musicals,1,55
drill italiana,1,55
"latin talent show, latin viral pop, spanish pop",1,55
"indie viet, v-pop",1,55
"estonian hip hop, estonian pop",1,55
"rap, hip hop, west coast hip hop, cloud rap",1,55
greek underground rap,1,55
"dembow, trap latino",1,55
nigerian pop,1,55
"russelater, swedish eurodance",1,55
arabic hip hop,1,55
"rap maroc, trap maroc",1,55
"2007, alternative rock, art rock, baroque pop, britannique, british, cool, domino, english, epic, gamer, garage rock, garage rock revival, indie, indie rock, neo-psychedelia, post-punk revival, psychedelic pop, psychedelic rock, rock and indie, sheffield, soft rock, tumblr, uk",1,54
urbano latino,1,54
"conscious hip hop, hip hop, rap, west coast rap",1,54
"reggaeton chileno, urbano chileno",1,54
"modern alternative rock, modern rock, pop, pov: indie, rock",1,54
"finnish dance pop, finnish hip hop, finnish pop, iskelma",1,54
"dutch pop, dutch rock",1,54
"swedish drill, swedish hip hop, swedish reggae, swedish trap, swedish trap pop",1,54
"czech hip hop, czech pop, czsk hip hop",1,54
disco,1,54
"latin arena pop, latin pop, spanish pop",1,54
"indonesian indie, indonesian pop",1,54
"arabic hip hop, north moroccan rap, rap maroc",1,54
"v-pop, vietnam indie, vietnamese hip hop, vinahouse",1,54
"turkish hip hop, drill",1,54
"corrido, corridos tumbados, sad sierreno, sierreno",1,53
"hip hop, latin urban, reggaeton, trap latino, latin, reggaeton, trap latino, urbano latino, latin",1,53
