Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
reggae-pop,123,caribbean,0.45,fallback,untrusted_fallback
austrian composer,122,,0.0,,no_primary_family
neomelodico,122,,0.0,,no_primary_family
breakbeat,120,bass_music,0.45,fallback,untrusted_fallback
dutch edm,120,electronic,0.45,fallback,untrusted_fallback
gujarati garba,120,,0.0,,no_primary_family
khaleeji iraqi,120,middle_eastern,0.45,fallback,untrusted_fallback
pinoy indie,120,,0.0,,no_primary_family
pop lgbtq+ brasileira,120,pop,0.45,fallback,untrusted_fallback
romanian,120,,0.0,,no_primary_family
ag4,119,,0.0,,no_primary_family
rap algerien,119,hip_hop,0.45,fallback,untrusted_fallback
show tunes,119,,0.0,,no_primary_family
indie soul,118,rnb_soul,0.45,fallback,untrusted_fallback
musica tocantinense,118,,0.0,,no_primary_family
to clean up,118,,0.0,,no_primary_family
vyrzukhisuc-artiest,118,,0.0,,no_primary_family
bhajan,117,,0.0,,no_primary_family
neo-soul,117,rnb_soul,0.45,fallback,untrusted_fallback
soukous,117,,0.0,,no_primary_family
gradually watermelon,116,,0.0,,no_primary_family
indian instrumental,116,,0.0,,no_primary_family
sierreno-banda,116,regional_mexican,0.45,fallback,untrusted_fallback
brass band,115,,0.0,,no_primary_family
indonesian r & b,115,,0.0,,no_primary_family
nature sounds,115,,0.0,,no_primary_family
alt-country,114,country_folk,0.45,fallback,untrusted_fallback
classic j-pop,114,pop,0.45,fallback,untrusted_fallback
crossover,114,,0.0,,no_primary_family
post-punk revival,114,rock,0.45,fallback,untrusted_fallback
mexican,113,,0.0,,no_primary_family
producteur,113,,0.0,,no_primary_family
turkish singer-songwriter,113,country_folk,0.45,fallback,untrusted_fallback
world fusion,113,,0.0,,no_primary_family
arrochadeira,112,brazilian,0.45,fallback,untrusted_fallback
as jailed,112,,0.0,,no_primary_family
death by drug overdose,112,,0.0,,no_primary_family
lil wayne,112,,0.0,,no_primary_family
